CHROM	GENPOS	ID	ALLELE0	ALLELE1	A1FREQ	INFO	N	TEST	BETA	SE	CHISQ	LOG10P	EXTRA	Protein_name	SNP
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502841	0.998578	32907	ADD	0.0143866	0.00760666	3.57708	1.23223	NA	AIF1	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502348	0.996712	33687	ADD	0.00405554	0.00717721	0.319291	0.242578	NA	ALDH1A1	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502911	0.995879	32991	ADD	0.00748637	0.00750088	0.996133	0.497234	NA	ANXA1	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502852	0.995115	32531	ADD	0.000362287	0.00706004	0.00263325	0.0181477	NA	ANXA2	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502456	0.996928	33841	ADD	0.0161131	0.00705569	5.2153	1.64996	NA	APEX1	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502862	0.996732	33187	ADD	0.00354698	0.00750277	0.223498	0.196279	NA	ARHGAP45	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502568	0.997843	33796	ADD	0.000157109	0.0074915	0.000439812	0.00732799	NA	BCL2	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502706	0.994784	32704	ADD	0.00842148	0.00777607	1.17289	0.554694	NA	BTLA	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502531	0.996596	33561	ADD	-0.00233368	0.00612605	0.145117	0.152893	NA	CA6	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.50269	0.997287	33809	ADD	0.00818916	0.00735428	1.23993	0.575961	NA	CCL5	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502568	0.997843	33796	ADD	-0.0021855	0.00576041	0.143944	0.152186	NA	CD101	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.503097	0.99665	32861	ADD	0.00861947	0.00736164	1.37092	0.616806	NA	CD14	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502099	0.994175	32862	ADD	0.0152812	0.00775469	3.88316	1.31182	NA	CD2	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502495	0.997098	34049	ADD	-0.00398269	0.0070198	0.321887	0.243763	NA	CD22	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502976	0.997757	33436	ADD	0.00827213	0.00719799	1.32072	0.601258	NA	CD274	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502841	0.998578	32907	ADD	0.011137	0.00744281	2.23904	0.87107	NA	CD28	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502525	0.996829	33533	ADD	-6.88E-05	0.00618374	0.000123856	0.00387355	NA	CD38	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.50268	0.996175	32867	ADD	0.00492323	0.00775694	0.402827	0.279317	NA	CD3D	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502783	0.996061	33335	ADD	-0.0142303	0.00770935	3.40717	1.18766	NA	CD3E	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502628	0.994729	32981	ADD	0.0153549	0.0077584	3.91696	1.32056	NA	CD3G	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502598	0.997734	33592	ADD	0.00487578	0.00723651	0.453973	0.300636	NA	CD4	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502495	0.997098	34049	ADD	0.00765186	0.00750276	1.04014	0.511746	NA	CD40LG	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502629	0.997147	33908	ADD	0.00641513	0.00729716	0.772864	0.42098	NA	CD5	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502698	0.99652	32408	ADD	-0.0133201	0.00724038	3.38449	1.18169	NA	CD55	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502383	0.99702	33988	ADD	0.00453438	0.00606859	0.55829	0.342036	NA	CD6	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502893	0.99753	33372	ADD	0.0130392	0.00752015	3.00644	1.08126	NA	CD63	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502405	0.994662	32913	ADD	0.0096107	0.00717772	1.79282	0.743324	NA	CD7	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.50264	0.997337	33962	ADD	0.00304137	0.00703347	0.186982	0.176891	NA	CD74	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502783	0.996061	33335	ADD	-0.00533164	0.00771021	0.478177	0.31047	NA	CD82	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.50264	0.997337	33962	ADD	0.0139561	0.00714884	3.81115	1.29318	NA	CD8A	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502976	0.997757	33436	ADD	0.0039662	0.00711054	0.311131	0.238834	NA	CRTAM	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502099	0.994175	32862	ADD	-0.00239934	0.00757359	0.100364	0.124133	NA	CSF2	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.503043	0.996758	33719	ADD	0.00880642	0.00583773	2.27568	0.881346	NA	CST7	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502355	0.996936	33924	ADD	-0.00635981	0.00764196	0.692594	0.392241	NA	CTLA4	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502628	0.994729	32981	ADD	0.00785036	0.00757744	1.07333	0.522598	NA	DGKA	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.5025	0.997176	33038	ADD	-0.00828739	0.00717502	1.3341	0.605415	NA	DPP4	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502545	0.996562	34090	ADD	-0.0026784	0.0071851	0.138958	0.149159	NA	EGFR	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502375	0.996691	33567	ADD	0.00982409	0.00754057	1.69737	0.715271	NA	ENO1	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502717	0.997906	33043	ADD	0.00211935	0.00768717	0.0760101	0.106361	NA	EPHX2	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502854	0.996629	33822	ADD	0.00201097	0.00699227	0.0827132	0.111453	NA	ERBB2	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502355	0.996936	33924	ADD	0.0029106	0.00693869	0.175958	0.17078	NA	FGFBP2	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502996	0.996652	32922	ADD	0.00869679	0.00757149	1.31934	0.600826	NA	FHIT	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502976	0.997757	33436	ADD	0.010884	0.00747076	2.1225	0.838184	NA	FKBP5	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502841	0.998578	32907	ADD	0.00990583	0.00760836	1.69512	0.714605	NA	FOXO3	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502862	0.996732	33187	ADD	0.00471465	0.00698647	0.45539	0.301216	NA	GIMAP7	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502706	0.994784	32704	ADD	0.00930127	0.00763297	1.4849	0.651677	NA	GIMAP8	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502348	0.996712	33687	ADD	0.00358232	0.00665065	0.290136	0.22905	NA	GNLY	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502495	0.997098	34049	ADD	0.00281643	0.0072684	0.150149	0.1559	NA	GZMA	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502641	0.997529	33657	ADD	-0.000904858	0.00706098	0.0164222	0.0467087	NA	GZMB	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502717	0.997906	33043	ADD	0.00774705	0.00735224	1.11028	0.534586	NA	GZMH	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502348	0.996712	33687	ADD	0.000902693	0.00730197	0.0152827	0.0449796	NA	HAVCR2	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502761	0.997957	33084	ADD	0.00607108	0.00762639	0.633713	0.370594	NA	IFNG	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502525	0.996829	33533	ADD	0.0021877	0.00702554	0.0969656	0.121764	NA	IGF1R	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502841	0.998578	32907	ADD	0.00953447	0.00768778	1.53812	0.667769	NA	IKZF2	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502761	0.997957	33084	ADD	0.00281649	0.00759861	0.137387	0.148196	NA	IL10	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502761	0.997957	33084	ADD	0.00635519	0.00720184	0.778701	0.423039	NA	IL12RB1	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502597	0.996663	33777	ADD	0.0026734	0.00725747	0.135693	0.147154	NA	IL22	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502569	0.997657	33385	ADD	-0.00691196	0.00671512	1.05948	0.51808	NA	IL2RA	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502641	0.997529	33657	ADD	-0.00220572	0.00722092	0.0933071	0.119178	NA	IL32	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502641	0.997529	33657	ADD	0.00749198	0.00720851	1.0802	0.524832	NA	IL4R	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502348	0.996712	33687	ADD	-0.00854992	0.00581324	2.16315	0.849691	NA	IL7R	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.50264	0.997241	33616	ADD	-0.0166971	0.00721604	5.35408	1.68458	NA	ITGB1	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502373	0.996975	33381	ADD	0.00119239	0.00723157	0.0271874	0.0609634	NA	ITGB2	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502718	0.997478	33742	ADD	-0.0161464	0.00711836	5.14506	1.63241	NA	KIT	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502495	0.997098	34049	ADD	-0.00405445	0.00729587	0.308823	0.237769	NA	KLRB1	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502525	0.996829	33533	ADD	-0.00676256	0.00720438	0.881109	0.458548	NA	LAG3	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502644	0.99734	33874	ADD	0.00162877	0.00751277	0.0470022	0.0817787	NA	LDLRAP1	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502644	0.996353	33693	ADD	0.00193006	0.00730862	0.0697379	0.101429	NA	LGALS1	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502658	0.996361	33715	ADD	-0.0074751	0.00631795	1.39985	0.625713	NA	LGALS3	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502597	0.996663	33777	ADD	0.00110396	0.00747724	0.0217983	0.0542239	NA	LTB	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502628	0.994729	32981	ADD	-0.0055842	0.00771243	0.524251	0.328796	NA	MKI67	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.50269	0.997287	33809	ADD	-0.0112048	0.00681393	2.70405	0.999593	NA	NCAM1	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.503001	0.996973	33848	ADD	-0.00308407	0.00715474	0.185807	0.176246	NA	NELL2	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.506219	0.98773	9216	ADD	0.0216789	0.0138602	2.44646	0.928891	NA	NPM1	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502854	0.996629	33822	ADD	-0.0074778	0.00657136	1.2949	0.59321	NA	NT5E	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.50262	0.996851	33902	ADD	0.00421547	0.00726539	0.336646	0.25044	NA	PDCD1	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502348	0.996712	33687	ADD	0.00321558	0.00712688	0.203573	0.185851	NA	PECAM1	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502348	0.996712	33687	ADD	0.000201339	0.00700667	0.000825718	0.0100718	NA	PIK3IP1	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502641	0.997529	33657	ADD	0.0206128	0.00741726	7.72302	2.26344	NA	PSIP1	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502355	0.996936	33924	ADD	-0.000506923	0.00736944	0.00473167	0.0244951	NA	PTPRC	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502783	0.996061	33335	ADD	0.00166124	0.00766667	0.0469516	0.0817309	NA	RNF43	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502748	0.995456	33442	ADD	0.00390548	0.0073116	0.285314	0.22677	NA	S100A11	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502854	0.996629	33822	ADD	0.00514115	0.00741498	0.480729	0.311498	NA	S100A4	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502644	0.99734	33874	ADD	0.00740696	0.00758508	0.953585	0.483057	NA	SATB1	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502564	0.996395	33995	ADD	0.00211151	0.00686633	0.0945667	0.120073	NA	SELL	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.50269	0.997287	33809	ADD	0.0027413	0.00733043	0.139848	0.149702	NA	SELP	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502761	0.997957	33084	ADD	0.00372471	0.00760273	0.240019	0.204682	NA	SLAMF1	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502838	0.996128	33042	ADD	-0.00503739	0.00752101	0.448599	0.298431	NA	SNED1	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.503001	0.996973	33848	ADD	0.00135057	0.00737504	0.0335354	0.068187	NA	SPINT2	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502729	0.996221	33853	ADD	0.0159288	0.00757371	4.42335	1.45038	NA	STX3	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502641	0.997529	33657	ADD	0.0178569	0.00738976	5.83919	1.80485	NA	TBC1D5	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502612	0.997425	33806	ADD	0.0112849	0.00691766	2.6612	0.98791	NA	TFRC	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502783	0.996061	33335	ADD	0.00665253	0.00767224	0.751847	0.413534	NA	TIGIT	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502537	0.997327	33222	ADD	0.00286442	0.00740893	0.149473	0.155498	NA	TIMP1	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502628	0.994729	32981	ADD	-0.00232733	0.00770316	0.0912804	0.117728	NA	TLR1	rs6532086
