Gene	SeqId	Protein..short.name.	UniProt	Ensembl.Gene.ID	Chr	Start	End
A1BG	16561_9	Alpha-1B-glycoprotein	P04217	ENSG00000121410	19	58345177	58353499
A1CF	12423_38	A1CF	Q9NQ94	ENSG00000148584	10	50799408	50885675
A2M	3708_62	a2-Macroglobulin	P01023	ENSG00000175899	12	9067663	9116229
A2ML1	15482_12	A2ML1	A8K2U0	ENSG00000166535	12	8822471	8887001
A4GALT	8759_29	"a1,4-Galactosyltransferase"	Q9NPC4	ENSG00000128274	22	42692120	42721298
A4GNT	10835_25	A4GCT	Q9UNA3	ENSG00000118017	3	138123717	138132387
AAGAB	11926_23	P34	Q6PD74	ENSG00000103591	15	67201032	67255195
AARS	12340_17	SYAC	P49588	ENSG00000090861	16	70252294	70289543
AASDHPPT	17320_19	ADPPT	Q9NRN7	ENSG00000149313	11	106075500	106098710
ABCC6	8935_22	MRP6	O95255	ENSG00000091262	16	16148927	16223522
ABHD10	17370_186	ABHDA	Q9NUJ1	ENSG00000144827	3	111979009	111993363
ABHD12	7825_7	ABD12	Q8N2K0	ENSG00000100997	20	25294742	25390983
ABHD14A	5715_4	ABHEA	Q9BUJ0	ENSG00000114786	3	51971425	51981199
ABHD14B	19325_21	ABHEB	Q96IU4	ENSG00000114779	3	51968509	51983409
ABL1	3341_33	ABL1	P00519	ENSG00000097007	9	130713945	130887675
ABL2	3342_76	ABL2	P42684	ENSG00000143322	1	179099326	179229684
ABL2	5261_13	ABL2	P42684	ENSG00000143322	1	179099326	179229684
ABLIM3	13578_98	ABLM3	O94929	ENSG00000173210	5	149141482	149260542
ACAA1	17782_23	THIK	P09110	ENSG00000060971	3	38103128	38137242
ACAD8	11406_82	ACAD8	Q9UKU7	ENSG00000151498	11	134253494	134265855
ACADL	17857_6	ACADL	P28330	ENSG00000115361	2	210187938	210225491
ACADM	17333_20	ACADM	P11310	ENSG00000117054	1	75724346	75787575
ACADS	17393_13	SCAD	P16219	ENSG00000122971	12	120725734	120740008
ACADSB	17403_14	acyl-Coenzyme A dehydrogenase	P45954	ENSG00000196177	10	123008978	123058311
ACADVL	19262_219	ACADV	P49748	ENSG00000072778	17	7217124	7225273
ACAN	3280_49	Aggrecan	P16112	ENSG00000157766	15	88803442	88875354
ACAP2	12343_14	CENB2	Q15057	ENSG00000114331	3	195274735	195443078
ACAT1	19197_95	THIL	P24752	ENSG00000075239	11	108121515	108147776
ACAT2	17341_89	THIC	Q9BWD1	ENSG00000120437	6	159760327	159779055
ACBD6	19341_36	ACBD6	Q9BR61	ENSG00000135847	1	180269652	180502954
ACBD6	10075_75	ACBD6	Q9BR61	ENSG00000135847	1	180269652	180502954
ACBD7	13563_259	ACBD7	Q8N6N7	ENSG00000176244	10	15077522	15088776
ACE	10714_7	ACE	P12821	ENSG00000159640	17	63477060	63498380
ACE2	2805_6	ACE2	Q9BYF1	ENSG00000130234	X	15494566	15607236
ACHE	15553_22	ACES	P22303	ENSG00000087085	7	100889993	100896974
ACLY	12700_9	ACLY	P53396	ENSG00000131473	17	41866907	41930542
ACOT13	17675_17	ACO13	Q9NPJ3	ENSG00000112304	6	24667034	24705065
ACOT8	17400_71	ACOT8	O14734	ENSG00000101473	20	45841720	45857406
ACP1	3858_5	PPAC	P24666	ENSG00000143727	2	264139	278283
ACP2	9237_54	Lysosomal acid phosphatase	P11117	ENSG00000134575	11	47239301	47248906
ACP5	3232_28	TrATPase	P13686	ENSG00000102575	19	11574659	11579008
ACP6	5742_14	PPA6	Q9NPH0	ENSG00000162836	1	147629651	147670496
ACPL2	6079_59	ACPL2	Q8TE99	ENSG00000155893	3	141228726	141367753
ACPP	19317_114	Prostatic acid phosphatase	P15309	ENSG00000014257	3	132317366	132368298
ACRV1	10507_166	sperm protein 10	P26436	ENSG00000134940	11	125671521	125681123
ACRV1	15301_24	sperm protein 10	P26436	ENSG00000134940	11	125671521	125681123
ACSF2	17466_72	ACSF2	Q96CM8	ENSG00000167107	17	50426157	50474845
ACTN1	9843_5	ACTN1	P12814	ENSG00000072110	14	68874142	68979440
ACTN2	9844_138	ACTN2	P35609	ENSG00000077522	1	236686453	236764631
ACVR1B	2806_49	Activin RIB	P36896	ENSG00000135503	12	51951666	51997078
ACVR2A	19208_8	Activin RIIA	P27037	ENSG00000121989	2	147844516	147930826
ACVR2B	9412_52	Activin RIIB	Q13705	ENSG00000114739	3	38453850	38493142
ACVRL1	16318_12	ALK-1	P37023	ENSG00000139567	12	51906907	51923361
ACY1	3343_1	Aminoacylase-1	Q03154	ENSG00000114786	3	51983277	51989202
ACYP2	12812_25	ACYP2	P14621	ENSG00000170634	2	53970837	54305300
ADAM10	8405_108	ADAM 10	O14672	ENSG00000137845	15	58588806	58749978
ADAM10	8654_13	ADAM 10	O14672	ENSG00000137845	15	58588806	58749978
ADAM11	6586_19	ADA11	O75078	ENSG00000073670	17	44759030	44781846
ADAM12	4420_7	ADAM12	O43184	ENSG00000148848	10	126012380	126388455
ADAM15	15455_40	ADA15	Q13444	ENSG00000143537	1	155050565	155062775
ADAM15	9956_7	ADA15	Q13444	ENSG00000143537	1	155050565	155062775
ADAM17	8882_1	ADAM 17	P78536	ENSG00000151694	2	9488485	9555792
ADAM17	8959_61	ADAM 17	P78536	ENSG00000151694	2	9488485	9555792
ADAM19	8948_13	ADA19	Q9H013	ENSG00000135074	5	157395533	157575775
ADAM22	7933_75	ADA22	Q9P0K1	ENSG00000008277	7	87934142	88202889
ADAM23	7049_2	ADAM 23	O75077	ENSG00000114948	2	206443538	206621130
ADAM29	13549_15	ADA29	Q9UKF5	ENSG00000168594	4	174829667	174978180
ADAM30	8520_8	ADA30	Q9UKF2	ENSG00000134249	1	119893532	119896495
ADAM32	7827_20	ADA32	Q8TC27	ENSG00000197140	8	39106989	39284911
ADAM7	10753_31	ADAM7	Q9H2U9	ENSG00000069206	8	24440929	24526970
ADAM9	3795_6	ADAM 9	Q13443	ENSG00000168615	8	38996868	39105144
ADAMDEC1	9115_78	ADEC1	O15204	ENSG00000134028	8	24384284	24406013
ADAMTS1	3174_2	ATS1	Q9UHI8	ENSG00000154734	21	26835746	26845409
ADAMTS13	3175_51	ATS13	Q76LX8	ENSG00000160323	9	133414357	133459402
ADAMTS15	4533_76	ATS15	Q8TE58	ENSG00000166106	11	130448973	130476641
ADAMTS3	8845_2	ATS3	O15072	ENSG00000156140	4	72280968	72569386
ADAMTS4	2809_25	ADAMTS-4	O75173	ENSG00000158859	1	161184307	161199056
ADAMTS5	3168_8	ADAMTS-5	Q9UNA0	ENSG00000154736	21	26917911	26966513
